Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas de graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
20/05/2020 11:51:50,UEPG,,Mestrado Acadêmico,Ciências Biológicas,2019,UEPG,"Iniciação científica, Projeto de extensão",,,,0,CAPES,1,0,Sim,"SPSS, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo programa de Mestrado da UEPG,Não,Remota,Não,Sim,Totalmente em escola pública,Ensino médio tradicional,Feminino,163,60,26/12/1997,Bolsista em tempo integral,"Pensão, quarto alugado ou algo similar",2,Interior do Paraná,B (carro),Carro/moto próprio,10,4,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram",40,B se chama Bouba e A se chama Kiki.
20/05/2020 11:53:26,UNICENTRO,,Mestrado Acadêmico,Ciências Biológicas,2019,Centro Universitário Campo Real,"Iniciação científica, Projeto de extensão",,,,0,Não,1,3,Não,,Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,170,80,18/01/1996,Desempregado,Com os pais,0,Interior do Paraná,B (carro),Carro/moto próprio,10,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",45,B se chama Bouba e A se chama Kiki.
20/05/2020 11:53:27,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Humanas,2014,UFPR,"PET, Monitoria, Projeto de extensão",,,UFPR,1,Não,0,5,Não,Excel,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Sim,Totalmente em escola pública,Ensino médio tradicional,Feminino,152,45,31/10/1990,Profissional Liberal,Com o namorado(a)/noivo(a)/cônjuge,2,Curitiba,B (carro),Transporte público,60,10,Não possuo,Não toco nenhum instrumento,"Facebook, Google+",46,B se chama Bouba e A se chama Kiki.
20/05/2020 12:04:08,UNILA,,Doutorado,Ciências Exatas,2007,URI - Santiago,"Iniciação científica, Projeto de extensão",2009,2012,UFSM,2,Não,0,1,Não,,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelo PPGIES da UNILA,Não,Remota,Não,Sim,Totalmente em escola particular,Parte profissionalizante e parte tradicional,Masculino,175,74,22/06/2020,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,5,Outro Estado,A e B (moto e carro),Carro/moto próprio,50,0,"Cachorro, Outro",Não toco nenhum instrumento,"Facebook, Instagram",52,A se chama Bouba e B se chama Kiki.
20/05/2020 12:09:08,UFPR,ET - Exatas,Doutorado,Ciências Exatas,2013,UTFPR,Empresa Júnior,2015,2018,UTFPR,1,Não,1,10,Sim,"Excel, Matlab",Não sei ainda,7,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,155,45,17/07/1989,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,2,Curitiba,B (carro),Carro/moto próprio,20,3,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",45,B se chama Bouba e A se chama Kiki.
20/05/2020 12:10:00,UFPR,SD - Saúde,Doutorado,Ciências Biológicas,2000,UFPR,"Iniciação científica, Monitoria",2011,2015,UFPR,5,Não,1,5,Sim,"Minitab, Excel",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,172,65,15/09/1976,"FUNCIONÁRIO PÚBLICO NA UFPR, MÉDICA. NÃO VEJO AS IMAGENS DO QUESTIONÁRIO.",Com outros familiares,3,Interior do Paraná,B (carro),Carro/moto próprio,15,2,Peixe,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",1,A se chama Bouba e B se chama Kiki.
20/05/2020 12:13:32,UEPG,,Mestrado Acadêmico,Ciências Biológicas,2016,CESCAGE,"Monitoria, Projeto de extensão",,,,0,Não,1,0,Não,,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,170,78,20/06/1985,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge,1,Interior do Paraná,B (carro),Carro/moto próprio,20,4,Não possuo,Contrabaixo,"Facebook, Instagram, Linkedin",45,A se chama Bouba e B se chama Kiki.
20/05/2020 12:20:08,UEPG,,Mestrado Acadêmico,Ciências Biológicas,2018,UEPG,"Monitoria, Projeto de extensão",,2022,,0,CAPES,0,0,Não,,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,160,54,25/03/1996,Bolsista em tempo integral,Com os pais,1,Interior do Paraná,B (carro),Carro/moto próprio,20,0,Cachorro,"Violão, Teclado, Piano, Outro","Facebook, Google+, Instagram",49,B se chama Bouba e A se chama Kiki.
20/05/2020 12:27:23,UEPG,,Doutorado,Ciências Exatas,2016,UEPG,"Iniciação científica, Projeto de extensão",2017,2019,UEPG,4,CAPES,1,1,Sim,"R, Excel",Certamente sim,10,Conseguir um emprego.,Divulgação pelo PPGAGRO - UEPG,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,163,51,19/04/1995,Bolsista em tempo integral,Com os pais,1,Interior do Paraná,Não,Transporte público,90,8,"Cachorro, Gato",Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",45,B se chama Bouba e A se chama Kiki.
20/05/2020 12:30:04,UNILA,,Mestrado Acadêmico,Ciências Exatas,2019,Unila,"Iniciação científica, Projeto de extensão, Empresa Júnior, Centro Acadêmico",,,,0,Não,2,1,Sim,"Excel, Matlab",Certamente sim,10,Conseguir um emprego.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,165,94,06/11/1990,Desempregada,Com o namorado(a)/noivo(a)/cônjuge,1,Outro Estado,Não,Transporte público,30,1,Cachorro,Violão,"Facebook, Twitter, Instagram, Linkedin",40,A se chama Bouba e B se chama Kiki.
