Carimbo de data/hora,Qual sua atividade atual na UFPR (relacionada à presença nesta disciplina)?,Qual o Setor de atuação/estudo na UFPR?  ,Em qual ano você concluiu sua graduação?,Em qual instituição você concluiu sua graduação?,De quais programas na graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas diferentes de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software estatístico?,Qual(is) software(s) estatístico(s) você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,Qual das seguintes categorias descreve melhor sua situação de emprego?,Sexo,Quantos irmãos você tem?,Qual a sua origem?,Você mora,Qual seu meio de transporte predominante para ir para Universidade?,Possui habilitação para dirigir? Qual categoria?,"Em média, quanto tempo você demora para chegar a Universidade?",Qual a sua altura?,Qual o seu peso?,Possui animal de estimação?,Toca algum instrumento musical?,Qual a data do seu nascimento?,De quais redes sociais você participa?,"Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Você é o provedor da conta de NETFLIX da sua família/amigos?,O arroz do Natal tem que ser,Quantos anos você acha que a pessoa da foto abaixo tem?,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu algum vídeo da Disciplina no YouTube? ",Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,"Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina (Paulo Afonso, Walmes, Fernando Mayer, Cesar)?"
08/03/2019 16:35:10,Mestrado Acadêmico,TC - Tecnologia,2018,UNISOCIESC,,,,,0,Não,0,0,Não,Excel,Não sei ainda,5,Trabalho ocasional,Feminino,1,Curitiba ou região metropolitana,Com os pais,Transporte público,Não,40,153,59,Não,Não,13/09/1990,"Facebook, Instagram",0,Sim,com uvas passas,48,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo meu/minha orientador/orientadora,Não,Não,Não
08/03/2019 16:37:52,Mestrado Acadêmico,ET - Exatas,2018,Universidade Estadual do Centro-Oeste,"Iniciação científica, PET, Monitoria",,,,0,CAPES,2,0,Sim,"R, Statistica, Excel",Certamente sim,10,Bolsista em tempo integral,Feminino,1,Interior do Paraná,Com amigos,A pé,Não,30,155,53,Não,Não,23/10/1983,"Facebook, Instagram",1,Sim,tanto faz.,45,Conseguir um emprego.,Pelo meu/minha orientador/orientadora,Não,Não,Não
08/03/2019 16:37:57,Pós-Doutorado,SL - Litoral,2003,ielusc,"Iniciação científica, Bolsista de (algum outro) projeto",2004,2006,UFPR,18,CAPES,1,0,Sim,"Excel, jasp",Certamente sim,7,Bolsista em tempo integral,Feminino,1,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),90,163,94,cachorro; gato,Não,05/11/1981,"Facebook, Twitter, Instagram, Linkedin",0,Sim,tanto faz.,40,Conseguir um emprego.,Email da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não
08/03/2019 16:55:13,Mestrado Acadêmico,SD - Saúde,2018,UnB,"Iniciação científica, Monitoria, Bolsista de (algum outro) projeto",,,,0,CAPES,2,0,Sim,"Excel, PAST",Certamente sim,10,Bolsista em tempo integral,Feminino,4,Outro Estado,"Pensão, quarto alugado ou algo similar",A pé,B (carro),30,155,48,Não,Não,02/01/1996,"Facebook, Google+, Instagram, Outras",7,Não,com uvas passas,40,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 17:01:31,Mestrado Acadêmico,SD - Saúde,2010,Universidade Positivo,Monitoria,,,,5,Não,1,0,Não,Nenhum,Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Masculino,1,Curitiba ou região metropolitana,Com os pais,Carro/moto próprio,B (carro),20,174,70,Não,Violão,18/08/1986,"Facebook, Twitter, Google+, Instagram",0,Não,tanto faz.,58,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 17:17:06,Doutorado,AG - Agrárias,2015,UNIR,"Iniciação científica, Monitoria, Bolsista de (algum outro) projeto",2017,2019,UFMT,2,Não,1,1,Sim,"Excel, Assistat; Sisvar",Certamente sim,10,Sem vínculo empregatício,Feminino,2,Outro Estado,"Pensão, quarto alugado ou algo similar",A pé,B (carro),40,164,52,Não,Não,04/09/1989,"Instagram, Linkedin",6,Não tenho conta no NETFLIX,tanto faz.,49,Conseguir um emprego.,Eu vi no site do SIGA e me interessei,Não,Sim,Não
08/03/2019 17:26:03,Doutorado,BL - Ciências Biológicas,2014,Faculdades Pequeno Príncipe,"Iniciação científica, PET",2015,2017,UFPR,2,CAPES,1,1,Sim,"Excel, Prisma",Certamente sim,10,Bolsista em tempo integral,Feminino,1,Curitiba ou região metropolitana,Com amigos,Carro/moto próprio,B (carro),20,171,68,Gato,Não,06/04/1993,"Facebook, Twitter, Instagram, Linkedin",1,Não,sem uvas passas,49,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 17:28:24,Mestrado Acadêmico,BL - Ciências Biológicas,2017,UNESPAR - Universidade Estadual do Paraná,"Iniciação científica, Monitoria",,,,1,CAPES,1,6,Sim,Assistat,Certamente sim,10,Bolsista em tempo integral,Masculino,3,Curitiba ou região metropolitana,Sozinho,A pé,Não,15,185,99,Não,Violão,15/03/1996,"Facebook, Instagram",3,Não tenho conta no NETFLIX,sem uvas passas,40,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR,Não,Não,Não
08/03/2019 17:40:49,Mestrado Acadêmico,AG - Agrárias,2019,Universidade Federal Rural da Amazônia,PET,,,,0,CAPES,2,0,Sim,"Minitab, Excel",Certamente sim,9,Bolsista em tempo integral,Feminino,4,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,A pé,Não,50,175,85,Não,Não,04/10/1993,"Facebook, Google+, Instagram",2,Não tenho conta no NETFLIX,sem uvas passas,45,Aumento salarial e oportunidades mais promissoras.,Pelo meu/minha orientador/orientadora,Não,Não,Não
08/03/2019 17:43:18,Doutorado,"AC - Artes, Comunicação e Design",2014,UDESC,"Monitoria, Bolsista de (algum outro) projeto, Empresa Júnior",2015,2017,UDESC,6,CAPES,1,1,Sim,SPSS,Certamente sim,8,Bolsista em tempo integral,Feminino,1,Outro Estado,Com amigos,Transporte público,B (carro),30,156,53,Não,Não,11/12/1990,"Facebook, Twitter, Instagram, Linkedin",6,Não,com uvas passas,45,Conseguir um emprego.,Email da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não
